chemical_code,chemical_name
0411000E0,Rivastigmine
0411000F0,Galantamine
0411000G0,Memantine hydrochloride
0501011J0,Benzylpenicillin sodium (Penicillin G)
0501011P0,Phenoxymethylpenicillin (Penicillin V)
0501012G0,Flucloxacillin sodium
0501012H0,Flucloxacillin magnesium
0501012U0,Temocillin sodium
0501013B0,Amoxicillin
0501013C0,Amoxicillin sodium
0501013E0,Ampicillin
0501013K0,Co-amoxiclav (Amoxicillin/clavulanic acid)
0501013L0,Co-fluampicil(Flucloxacillin/ampicillin)
0501014N0,Ticarcillin with clavulanic acid
0501014S0,Piperacillin sodium/tazobactam sodium
0501015P0,Pivmecillinam hydrochloride
050102020,Cefpirome sulfate
0501020AA,Cefprozil
0501020AD,Cefepime
0501020T0,Cefamandole
0501020V0,Cefazolin sodium
0501021A0,Cefaclor
0501021B0,Cefadroxil
0501021C0,Cefixime
0501021D0,Cefotaxime sodium
0501021E0,Cefoxitin sodium
0501021F0,Cefpodoxime
0501021G0,Ceftriaxone sodium
0501021H0,Ceftazidime pentahydrate
0501021J0,Cefuroxime sodium
0501021K0,Cefuroxime axetil
0501021L0,Cefalexin
0501021M0,Cefradine
0501022A0,Meropenem
0501022B0,Ertapenem sodium
0501022C0,Doripenem
0501022D0,Imipenem with cilastatin
0501023A0,Aztreonam
0501030F0,Demeclocycline hydrochloride
0501030I0,Doxycycline hyclate
0501030L0,Lymecycline
0501030P0,Minocycline hydrochloride
0501030T0,Oxytetracycline
0501030V0,Tetracycline
0501030X0,Tetracycline combined preparations
0501030Y0,Tigecycline
0501030Z0,Doxycycline monohydrate
0501040C0,Amikacin
0501040H0,Gentamicin sulfate
0501040N0,Neomycin sulfate
0501040R0,Netilmicin sulfate
0501040U0,Tobramycin
0501050A0,Azithromycin
0501050B0,Clarithromycin
0501050C0,Erythromycin
0501050H0,Erythromycin ethylsuccinate
0501050K0,Erythromycin lactobionate
0501050N0,Erythromycin stearate
0501050T0,Telithromycin
0501060D0,Clindamycin hydrochloride
0501060E0,Clindamycin phosphate
0501070AA,Taurolidine
0501070AB,Nitazoxanide
0501070AC,Fidaxomicin
0501070AD,Tedizolid
0501070AE,Fosfomycin trometamol
0501070AF,Dalbavancin hydrochloride
0501070F0,Chloramphenicol
0501070H0,Colistin sulfate
0501070I0,Colistimethate sodium
0501070M0,Fusidic acid
0501070N0,Sodium fusidate
0501070T0,Teicoplanin
0501070U0,Vancomycin hydrochloride
0501070V0,Quinupristin/dalfopristin
0501070W0,Linezolid
0501070X0,Rifaximin
0501070Y0,Daptomycin
0501070Z0,Pristinamycin
0501080D0,Co-trimoxazole(Trimethoprim/sulfamethoxazole)
0501080J0,Sulfadiazine
0501080T0,Sulfamethoxypyridazine
0501080V0,Sulfapyridine
0501080W0,Trimethoprim
0501090A0,Aminosalicylic acid
0501090C0,Capreomycin
0501090E0,Cycloserine
0501090H0,Ethambutol hydrochloride
0501090I0,Ethionamide
0501090K0,Isoniazid
0501090N0,Pyrazinamide
0501090Q0,Rifabutin
0501090R0,Rifampicin
0501090S0,Rifampicin combined preparations
0501090U0,Streptomycin
0501090V0,Bedaquiline
0501090W0,Delamanid
0501100C0,Clofazimine
0501100H0,Dapsone
0501100J0,Thalidomide (Antileprotic)
0501110C0,Metronidazole
0501110G0,Tinidazole
0501120L0,Ciprofloxacin
0501120N0,Nalidixic acid
0501120P0,Ofloxacin
0501120Q0,Norfloxacin
0501120X0,Levofloxacin
0501120Y0,Moxifloxacin
0501130H0,Methenamine hippurate
0501130R0,Nitrofurantoin
0501130S0,Fosfomycin calcium
0502010A0,Posaconazole
0502010B0,Fluconazole
0502010C0,Itraconazole
0502010D0,Voriconazole
0502010E0,Isavuconazole
0502020A0,Ketoconazole
0502030A0,Amphotericin
0502030B0,Nystatin
0502040A0,Anidulafungin
0502040B0,Micafungin
0502040C0,Caspofungin
0502050B0,Griseofulvin
0502050C0,Terbinafine hydrochloride
050301000,Other HIV infection preparations
0503010A0,Lamivudine and zidovudine
0503010AA,Emtricitabine and tenofovir disoproxil
0503010AB,Tipranavir
0503010AC,Darunavir
0503010AD,Maraviroc
0503010AE,Raltegravir
0503010AF,Etravirine
0503010AG,Rilpivirine
0503010AH,Dolutegravir
0503010AI,Cobicistat
0503010AJ,Elvitegravir
0503010AK,Darunavir/cobicistat
0503010AL,Atazanavir and cobicistat
0503010AM,Emtricitabine and tenofovir alafenamide
0503010AN,Efavirenz/emtricitabine/tenofovir disoproxil
0503010AP,Dolutegravir/rilpivirine
0503010AQ,Bictegravir/emtricitabine/tenofovir alafenamide
0503010AS,Lamivudine/tenofovir disoproxil/doravirine
0503010AT,Doravirine
0503010AU,Dolutegravir/lamivudine
0503010AV,Lamivudine/tenofovir disoproxil
0503010B0,Nevirapine
0503010C0,Nelfinavir mesilate
0503010D0,Efavirenz
0503010E0,Abacavir
0503010F0,Abacavir/lamivudine/zidovudine
0503010G0,Lopinavir and ritonavir
0503010H0,Tenofovir disoproxil
0503010I0,Amprenavir
0503010J0,Enfuvirtide
0503010K0,Emtricitabine
0503010L0,Atazanavir
0503010M0,Fosamprenavir calcium
0503010N0,Didanosine
0503010Q0,Lamivudine
0503010R0,Saquinavir mesylate
0503010S0,Stavudine
0503010T0,Indinavir
0503010U0,Ritonavir
0503010X0,Zalcitabine
0503010Y0,Zidovudine
0503010Z0,Abacavir and lamivudine
0503021A0,Valaciclovir
0503021B0,Aciclovir sodium
0503021C0,Aciclovir
0503021D0,Inosine pranobex
0503021E0,Famciclovir
0503022B0,Valganciclovir hydrochloride
0503022C0,Cidofovir
0503022D0,Ganciclovir
0503022E0,Foscarnet sodium
0503022F0,Letermovir
0503031A0,Adefovir dipivoxil
0503031B0,Entecavir
0503031C0,Telbivudine
0503031D0,Tenofovir alafenamide
0503032A0,Boceprevir
0503032B0,Telaprevir
0503032C0,Sofosbuvir
0503032D0,Simeprevir
0503032E0,Daclatasvir
0503032F0,Ledipasvir/sofosbuvir
0503032G0,Paritaprevir/ritonavir/ombitasvir
0503032H0,Dasabuvir
0503032I0,Elbasvir/grazoprevir
0503032J0,Sofosbuvir/velpatasvir
0503032K0,Glecaprevir/pibrentasvir
0503032L0,Sofosbuvir/velpatasvir/voxilaprevir
0503040A0,Zanamivir
0503040B0,Oseltamivir phosphate
0503040C0,Amantadine hydrochloride
0503050A0,Palivizumab
0503050B0,Ribavirin
0504010AA,Artemether with lumefantrine
0504010AB,Piperaquine phosphate/artenimol
0504010F0,Chloroquine phosphate
0504010G0,Chloroquine sulfate
0504010K0,Primaquine
0504010L0,Mefloquine hydrochloride
0504010M0,Proguanil hydrochloride
0504010N0,Pyrimethamine
0504010P0,Pyrimethamine with sulfadoxine
0504010Q0,Pyrimethamine with dapsone
0504010T0,Quinine bisulfate
0504010U0,Proguanil hydrochloride with atovaquone
0504010V0,Quinine dihydrochloride
0504010X0,Quinine hydrochloride
0504010Y0,Quinine sulfate
0504010Z0,Chloroquine phosphate with proguanil hydrochloride
0504020G0,Diloxanide furoate
0504040M0,Mepacrine hydrochloride
0504050S0,Sodium stibogluconate
0504050T0,Paromomycin sulfate
0504060A0,Nifurtimox
0504060B0,Benznidazole
0504080A0,Atovaquone
0504080P0,Pentamidine isetionate
0505010D0,Mebendazole
0505010H0,Piperazine
0505020L0,Levamisole hydrochloride
0505030A0,Albendazole
0505050P0,Praziquantel
0505060I0,Ivermectin
0505080F0,Tiabendazole
0601011A0,Insulin aspart
0601011L0,Insulin Lispro
0601011N0,Soluble insulin (Neutral insulin)
0601011P0,Insulin glulisine
0601011Q0,Insulin human inhaled
0601011R0,Insulin human
0601012AB,Insulin glargine/lixisenatide
0601012D0,Biphasic isophane insulin
0601012F0,Biphasic insulin lispro
0601012G0,Insulin zinc suspension
0601012N0,Insulin zinc suspension (Crystalline)
0601012S0,Isophane insulin
0601012U0,Protamine zinc insulin
0601012V0,Insulin glargine
0601012W0,Biphasic insulin aspart
0601012X0,Insulin detemir
0601012Z0,Insulin degludec
0601021A0,Glimepiride
0601021E0,Chlorpropamide
0601021H0,Glibenclamide
0601021M0,Gliclazide
0601021P0,Glipizide
0601021R0,Gliquidone
0601021X0,Tolbutamide
0601022B0,Metformin hydrochloride
0601023A0,Acarbose
0601023AA,Vildagliptin
0601023AB,Liraglutide
0601023AC,Saxagliptin
0601023AD,Metformin hydrochloride/sitagliptin
0601023AE,Linagliptin
0601023AF,Linagliptin/metformin
0601023AG,Dapagliflozin
0601023AH,Saxagliptin/metformin
0601023AI,Lixisenatide
0601023AJ,Alogliptin/metformin
0601023AK,Alogliptin
0601023AL,Dapagliflozin/metformin
0601023AM,Canagliflozin
0601023AN,Empagliflozin
0601023AP,Canagliflozin/metformin
0601023AQ,Dulaglutide
0601023AR,Empagliflozin/metformin
0601023AS,Albiglutide
0601023AU,Ins degludec/liraglutide
0601023AV,Saxagliptin/dapagliflozin
0601023AW,Semaglutide
0601023AX,Ertugliflozin
0601023AY,Empagliflozin/linagliptin
0601023B0,Pioglitazone hydrochloride
0601023I0,Guar gum
0601023R0,Repaglinide
0601023S0,Rosiglitazone
0601023U0,Nateglinide
0601023V0,Metformin hydrochloride/rosiglitazone
0601023W0,Metformin hydrochloride/pioglitazone
0601023X0,Sitagliptin
0601023Y0,Exenatide
0601023Z0,Metformin hydrochloride/vildagliptin
0601040E0,Diazoxide
0601040H0,Glucagon
0601040I0,Glucose
060106000,Other screening and monitoring agent preparations
0601060D0,Glucose blood testing reagents
0601060U0,Urine testing reagents
0601060W0,Ketone blood testing reagents
0601060X0,Glucose and ketone blood testing reagents
0602010A0,Thyrotropin alfa
0602010M0,Liothyronine sodium
0602010V0,Levothyroxine sodium
0602010Z0,Levothyroxine sodium and liothyronine
0602020D0,Carbimazole
0602020G0,Iodine
0602020H0,Potassium iodate
0602020I0,Potassium iodide
0602020N0,Propylthiouracil
0603010I0,Fludrocortisone acetate
0603020AA,Dexamethasone phosphate
0603020AC,Methylprednisolone aceponate
0603020B0,Betamethasone
0603020C0,Betamethasone sodium phosphate
0603020F0,Cortisone acetate
0603020G0,Dexamethasone
0603020H0,Dexamethasone sodium phosphate
0603020I0,Deflazacort
0603020J0,Hydrocortisone
0603020K0,Methylprednisolone sodium succinate
0603020L0,Hydrocortisone sodium phosphate
0603020M0,Hydrocortisone sodium succinate
0603020S0,Methylprednisolone
0603020T0,Prednisolone
0603020X0,Prednisone
0603020Z0,Triamcinolone acetonide
0604011AD,Oestrogens conjugated with bazedoxifene
0604011D0,Ethinylestradiol
0604011G0,Estradiol
0604011H0,"Estradiol, estriol and estrone"
0604011J0,Estradiol and estriol with progestogen
0604011K0,Estradiol valerate
0604011L0,Estradiol with progestogen
0604011M0,Estriol
0604011N0,Estradiol with cyproterone acetate
0604011P0,Oestrogens conjugated
0604011Q0,Oestrogens conjugated with progestogen
0604011R0,Estropipate
0604011X0,Raloxifene hydrochloride
0604011Y0,Tibolone
0604012F0,Dydrogesterone
0604012J0,Hydroxyprogesterone caproate
0604012M0,Medroxyprogesterone acetate
0604012P0,Norethisterone
0604012S0,Progesterone
0604012U0,Ulipristal acetate (Emergency Contraceptive)
0604012V0,Sildenafil (Female Sex Hormone)
0604012W0,Dienogest
060402000,Other male sex hormone and antagonist preparations
0604020B0,Dutasteride
0604020C0,Finasteride
0604020D0,Cyproterone acetate
0604020F0,Mesterolone
0604020H0,Methyltestosterone
0604020K0,Testosterone
0604020M0,Testosterone enantate
0604020P0,Testosterone propionate
0604020T0,Testosterone undecanoate
0604020U0,Testosterone esters
0604030L0,Nandrolone decanoate
0604030P0,Oxandrolone
0604030Q0,Prasterone
0604030S0,Androstanalone
0604030T0,Stanozolol
0605010AB,Follitropin alfa and lutropin alfa
0605010AC,Somatorelin
0605010AD,Corifollitropin alfa
0605010AF,Follitropin delta
0605010D0,Chorionic gonadotrophin
0605010G0,Clomifene citrate
0605010I0,Follitropin alfa
0605010J0,Corticotropin
0605010K0,Follitropin beta
0605010M0,Urofollitropin
0605010N0,Menotrophin
0605010P0,Gonadorelin
0605010R0,Protirelin
0605010S0,Somatropin
0605010T0,Tetracosactide
0605010U0,Sermorelin acetate
0605010X0,Choriogonadotropin alfa
0605010Y0,Lutropin alfa
0605010Z0,Pegvisomant
0605020E0,Desmopressin acetate
0605020T0,Terlipressin
0605020W0,Argipressin
0605020Y0,Tolvaptan
0606010T0,Calcitonin (Salmon)
0606010U0,Teriparatide
0606010V0,Parathyroid hormone
060602000,Other bisphosphonate and other preparations
0606020A0,Alendronic acid
0606020AA,Romosozumab
0606020C0,Etidronate disodium
0606020P0,Pamidronate disodium
0606020R0,Risedronate sodium
0606020T0,Sodium clodronate
0606020U0,Tiludronic acid
0606020V0,Zoledronic acid
0606020W0,Ibandronic acid
0606020X0,Strontium ranelate
0606020Y0,Alendronic acid/colecalciferol
0606020Z0,Denosumab
0607010B0,Bromocriptine
0607010C0,Cabergoline
0607010T0,Quinagolide hydrochloride
0607020B0,Buserelin
0607020C0,Danazol
0607020D0,Cetrorelix
0607020F0,Gestrinone
0607020P0,Nafarelin acetate
0607020W0,Ganirelix
0607030M0,Metyrapone
0607030T0,Trilostane
0607040A0,Mecasermin
0607050A0,Metreleptin
0701010D0,Carboprost
0701010I0,Dinoprostone
0701010L0,Ergometrine maleate
0701010P0,Gemeprost
0701010T0,Oxytocin
0701010W0,Carbetocin
0701010X0,Misoprostol (Gynaecology)
0701011D0,Alprostadil
0701011E0,Indometacin
0701011F0,Ibuprofen
0701020K0,Mifepristone
0701021A0,Mifepristone/misoprostol
0701030S0,Ritodrine hydrochloride
0701030V0,Atosiban
070201000,Other vaginal/vulva changes preparations
0702010F0,Estriol
0702010G0,Estradiol
0702010I0,Oestrogens conjugated
0702010L0,Diethylstilbestrol
0702010M0,Ospemifene
0702020AA,Secnidazole
0702020B0,Acetic acid
0702020E0,Clindamycin phosphate
0702020F0,Clotrimazole
0702020H0,Econazole nitrate
0702020I0,Fenticonazole nitrate
0702020P0,Miconazole nitrate
0702020T0,Nystatin
0702020V0,Povidone iodine
0702020W0,Preparations for other vaginal infections
0702020X0,Metronidazole
0702020Y0,Boric acid
0702020Z0,Dequalinium chloride
0703010E0,Combined ethinylestradiol 20mcg
0703010F0,Combined ethinylestradiol 30mcg
0703010G0,Combined ethinylestradiol 35mcg
0703010H0,Combined ethinylestradiol 50mcg
0703010M0,Combined mestranol
0703010P0,Phased formulations of ethinylestradiol
0703010R0,Estradiol valandestradiol valerate with dienogest
0703010S0,Estradiol and nomegestrol
0703011A0,Etonogestrel/ethinylestradiol
0703021C0,Etynodiol diacetate
0703021L0,Levonorgestrel
0703021N0,Norethisterone
0703021P0,Norgestrel
0703021Q0,Desogestrel
0703022M0,Medroxyprogesterone acetate
0703022N0,Norethisterone enantate
0703022P0,Etonogestrel
0703023L0,Levonorgestrel
0703030G0,Nonoxinol 9
0703050A0,Levonorgestrel
0703050B0,Ulipristal acetate (Emergency Contraceptive)
0704010A0,Alfuzosin hydrochloride
0704010C0,Bethanechol chloride
0704010I0,Distigmine bromide
0704010M0,Indoramin
0704010T0,Terazosin hydrochloride
0704010U0,Tamsulosin hydrochloride
0704010V0,Tamsulosin and dutasteride hydrochloride
0704010W0,Solifenacin/tamsulosin
0704020AA,Duloxetine hydrochloride
0704020AB,Solifenacin
0704020AC,Darifenacin hydrobromide
0704020AD,Fesoterodine fumarate
0704020AE,Mirabegron
0704020G0,Flavoxate hydrochloride
0704020J0,Oxybutynin
0704020N0,Tolterodine
0704020P0,Propiverine hydrochloride
0704020Z0,Trospium chloride
070403000,Other urological pain preparations
0704030A0,Acetohydroxamic acid
0704030C0,Ammonium chloride
0704030G0,Potassium citrate
0704030J0,Sodium citrate
0704040C0,Chlorhexidine gluconate
0704040D0,Chlorhexidine acetate
0704040F0,Dimethyl sulfoxide
0704040G0,Oxybutynin hydrochloride
0704040H0,Mandelic acid
0704040U0,Noxytiolin
0704040W0,Acetylcysteine
070405000,Other erectile dysfunction preparations
0704050AA,Vardenafil
0704050AC,Avanafil
0704050AD,Phentolamine/aviptadil
0704050B0,Alprostadil
0704050G0,Apomorphine hydrochloride
0704050J0,Papaverine hydrochloride
0704050R0,Tadalafil
0704050Y0,Yohimbine hydrochloride
0704050Z0,Sildenafil (Erectile Dysfunction)
0704060A0,Dapoxetine hydrochloride
0704060B0,Lidocaine/prilocaine (Premature Ejaculation)
0801000I0,Calcium folinate
0801000T0,Mesna
0801000U0,Calcium levofolinate
0801000V0,Amifostine
0801000W0,Palifermin
0801000X0,Disodium folinate
0801000Y0,Dexrazoxane
0801000Z0,Levofolinic acid
0801010B0,Busulfan
0801010D0,Carmustine
0801010F0,Chlorambucil
0801010H0,Cyclophosphamide
0801010J0,Estramustine phosphate
0801010N0,Ifosfamide
0801010Q0,Lomustine
0801010S0,Melphalan
0801010W0,Chlormethine hydrochloride
0801010Z0,Treosulfan
0801020D0,Dactinomycin
0801020G0,Bleomycin
0801020J0,Daunorubicin
0801020K0,Doxorubicin hydrochloride
0801020N0,Epirubicin hydrochloride
0801020P0,Idarubicin hydrochloride
0801020Q0,Mitomycin
0801020R0,Mitoxantrone
0801030AA,Clofarabine
0801030AB,Nelarabine
0801030AC,Azacitidine
0801030AD,Tegafur/gimeracil/oteracil
0801030AE,Decitabine
0801030AF,Trifluridine/tipiracil
0801030AG,Gilteritinib
0801030C0,Cladribine
0801030D0,Cytarabine
0801030H0,Fluorouracil (Antimetabolites)
0801030L0,Mercaptopurine
0801030P0,Methotrexate
0801030S0,Tegafur
0801030T0,Tioguanine
0801030V0,Capecitabine
0801030W0,Fludarabine phosphate
0801030X0,Gemcitabine
0801030Y0,Pemetrexed
0801030Z0,Raltitrexed
0801040D0,Etoposide
0801040H0,Vinblastine sulfate
0801040M0,Vincristine sulfate
0801040Q0,Vindesine sulfate
0801040R0,Vinorelbine
0801050AA,Imatinib mesilate
0801050AB,Bexarotene
0801050AC,Bortezomib
0801050AD,Trastuzumab
0801050AE,Erlotinib
0801050AF,Topotecan
0801050AG,Cetuximab
0801050AH,Porfimer sodium
0801050AI,Arsenic
0801050AJ,Sorafenib
0801050AK,Temoporfin
0801050AL,Oxaliplatin
0801050AM,Sunitinib
0801050AN,Dasatinib
0801050AP,Bevacizumab
0801050AR,Panitumumab
0801050AS,Nilotinib
0801050AT,Lapatinib
0801050AU,Temsirolimus
0801050AV,Trabectedin
0801050AW,Gefitinib
0801050AX,Everolimus
0801050AZ,Pazopanib
0801050BA,Pegaspargase
0801050BB,Eribulin
0801050BC,Ipilimumab
0801050BD,Vemurafenib
0801050BE,Paclitaxel albumin
0801050BF,Catumaxomab
0801050BG,Vandetanib
0801050BH,Pipobroman
0801050BI,Ruxolitinib
0801050BJ,Axitinib
0801050BK,Pertuzumab
0801050BL,Bosutinib
0801050BM,Vismodegib
0801050BN,Regorafenib
0801050BP,Afatinib
0801050BQ,Ponatinib
0801050BR,Cabozantinib
0801050BS,Ibrutinib
0801050BT,Nintedanib
0801050BU,Asparaginase
0801050BV,Lenvatinib
0801050BW,Panobinostat
0801050BY,Olaparib
0801050BZ,Ramucirumab
0801050C0,Amsacrine
0801050CA,Pembrolizumab
0801050CB,Palbociclib
0801050CC,Ixazomib
0801050CD,Alectinib
0801050CE,Inotuzumab
0801050CF,Avelumab
0801050CG,Osimertinib
0801050CH,Trametinib
0801050CI,Cobimetinib
0801050CJ,Niraparib
0801050CK,Midostaurin
0801050CL,Abemaciclib
0801050CM,Encorafenib
0801050CN,Binimetinib
0801050CP,Brigatinib
0801050CQ,Dacomitinib
0801050CR,Ribociclib
0801050D0,Docetaxel
0801050F0,Carboplatin
0801050I0,Cisplatin
0801050J0,Crisantaspase
0801050L0,Dacarbazine
0801050P0,Hydroxycarbamide
0801050Q0,Irinotecan hydrochloride
0801050R0,Mitotane
0801050S0,Pentostatin
0801050U0,Procarbazine hydrochloride
0801050V0,Paclitaxel
0801050W0,Razoxane
0801050X0,Tretinoin
0801050Y0,Temozolomide
0801060A0,Daunorubicin/cytarabine
0802010G0,Azathioprine
0802010M0,Mycophenolate mofetil
0802010N0,Mycophenolic sodium
0802020D0,Basiliximab
0802020G0,Ciclosporin
0802020T0,Tacrolimus
0802020U0,Sirolimus
0802020V0,Daclizumab
0802020X0,Antithymocyte immunoglobulin
0802020Y0,Belatacept
0802030E0,Alemtuzumab
0802030F0,Rituximab
0802030G0,Obinutuzumab
0802040A0,Peginterferon alpha
0802040AA,Thalidomide (Immunomodulating)
0802040AB,Histamine dihydrocloride
0802040AC,Canakinumab
0802040AD,Fingolimod
0802040AI,Dabrafenib
0802040AJ,Pomalidomide
0802040AK,Dimethyl fumar
0802040AL,Teriflunomide
0802040AM,Siltuximab
0802040AP,Peginterferon beta
0802040AQ,Aldesleukin
0802040AT,Nivolumab
0802040AY,Cladribine (Immunomodulating)
0802040AZ,Daclizumab (Immunomodulating)
0802040BA,Tivozanib
0802040BB,Siponimod
0802040BC,Ropeginterferon alfa
0802040J0,Interferon alpha
0802040M0,Interferon beta
0802040U0,Glatiramer acetate
0802040W0,Natalizumab
0802040X0,Bacillus calmette-guerin (B.C.G.)
0802040Y0,Lenalidomide
0802040Z0,Interferon gamma
0803010D0,Fosfestrol tetrasodium
0803010K0,Diethylstilbestrol
0803020D0,Gestonorone hexanoate
0803020H0,Medroxyprogesterone acetate
0803020L0,Megestrol acetate
0803030T0,Testolactone
0803041A0,Aminoglutethimide
0803041AA,Fulvestrant
0803041B0,Anastrozole
0803041C0,Exemestane
0803041L0,Letrozole
0803041S0,Tamoxifen citrate
0803041U0,Toremifene citrate
0803042A0,Bicalutamide
0803042B0,Buserelin
0803042E0,Cyproterone acetate
0803042H0,Flutamide
0803042K0,Goserelin acetate
0803042N0,Leuprorelin acetate
0803042P0,Triptorelin acetate
0803042Q0,Histrelin acetate
0803042R0,Degarelix
0803042S0,Triptorelin embonate
0803042T0,Abiraterone
0803042U0,Enzalutamide
0803042V0,Apalutamide
0803042W0,Triptorelin
0803043N0,Octreotide acetate
0803043P0,Lanreotide
0803043Q0,Pasireotide
090101100,Other oral iron preparations
0901011C0,Compound iron preparations
0901011F0,Ferrous fumarate
0901011H0,Ferrous gluconate
0901011K0,Ferrous glycine sulfate
0901011P0,Ferrous sulfate
0901011Q0,Iron and folic acid
0901011R0,Higher folic acid content
0901011S0,Polysaccharide-iron complex
0901011W0,Sodium feredetate
0901011X0,Ferrous calcium citrate
0901011Y0,Ferric maltol
0901012I0,Iron sucrose
0901012K0,Iron dextran
0901012M0,Iron sorbitol
0901012P0,Iron carboxymaltose
0901012Q0,Ferumoxytol
0901020D0,Cyanocobalamin
0901020G0,Folic acid
0901020N0,Hydroxocobalamin
0901020T0,Mecobalamin
0901030D0,Epoetin alfa
0901030E0,Epoetin beta
0901030H0,Oxymetholone
0901030I0,Deferiprone
0901030J0,Darbepoetin alfa
0901030K0,Deferasirox
0901030L0,Epoetin delta
0901030M0,Eculizumab
0901030N0,Methoxy polyethylene glycol-epoetin beta
0901030P0,Desferrioxamine mesilate
0901030Q0,Epoetin zeta
0901030R0,Hydroxycarbamide
0901030S0,Epoetin theta
0901030T0,Ravulizumab
0901030U0,Roxadustat
0901040A0,Anagrelide hydrochloride
0901040B0,Romiplostim
0901040C0,Eltrombopag
0901040D0,Lusutrombop
0901060I0,Filgrastim
0901060K0,Lenograstim
0901060N0,Molgramostim
0901060P0,Pegfilgrastim
0901060Q0,Lipegfilgrastim
0901070B0,Plerixafor
0902011AA,Patiromer calcium
0902011AB,Sodium zirconium cyclosilicate
0902011L0,Calcium polystyrene sulfonate
0902011P0,Sodium polystyrene sulfonate
0902011U0,Potassium chloride
0902012H0,Oral rehydration salts
0902012L0,Sodium chloride
0902013P0,Potassium bicarbonate
0902013S0,Sodium bicarbonate
0902021G0,Glucose
0902021N0,Potassium chloride
0902021Q0,Sodium bicarbonate
0902021S0,Sodium chloride
0902021V0,Sodium lactate
0902021X0,Water for injection
0902021Y0,Ringers
0902022A0,Albumin solution
0902022I0,Gelatin
090300000,Other intravenous nutrition preparations
0903000P0,Intravenous nutrition supplements
0903000Q0,L-Alanyl-l-gutamine
0903000R0,Addaven (Generic)
090401000,Other food for special diet preparations
090401010,Low protein mixes
090401020,Low protein grains/flours
090401030,Gluten free mixes
090401050,Gluten free/low protein cooking aids
090401070,Gluten free/wheat free grains/flours
090401080,Gluten free/wheat free pasta
090401090,Maltodextrin
0904010A0,Gluten free/wheat free biscuits
0904010AA,Gluten free/wheat free mixes
0904010AB,Gluten free/wheat free cooking aids
0904010AC,Gluten free/wheat free cereals
0904010AD,Gluten free/wheat free cakes/pastries
0904010AE,Gluten free/low protein cereals
0904010AF,Gluten free/low protein sweet/savoury
0904010AG,Gluten free/wheat free meals
0904010AH,Gluten free/wheat free/low protein pasta
0904010AI,Gluten free/wheat free/low protein biscuits
0904010AJ,Gluten free/wheat free/low protein mixes
0904010AK,Glten free /wheat/free /low/protein cooking aids
0904010AL,Low protein meals
0904010AM,Low protein desserts
0904010AN,Low protein miscellaneous
0904010AP,Low protein cereals
0904010AQ,Low protein pasta
0904010AR,Low protein cooking aids
0904010AS,Low protein cakes
0904010AT,Low protein snacks
0904010AU,Gluten free/wheat free snacks
0904010AV,Wheat free cakes/pastries
0904010AW,Sucrose
0904010AX,Low protein risotto
0904010AY,Gluten free/low protein drink
0904010E0,Gluten free/low protein mixes
0904010F0,Gluten free/low protein bread
0904010G0,Fructose
0904010H0,Gluten free bread
0904010I0,Gluten free biscuits
0904010J0,Gluten free grains/flours
0904010K0,Glucose
0904010L0,Gluten free cakes/pastries
0904010Q0,Gluten free pasta
0904010T0,Gluten free/low protein pasta
0904010U0,Gluten free/wheat free bread
0904010V0,Gluten free/low protein grains/flours
0904010W0,Low protein biscuits
0904010X0,Low protein bread
0904010Z0,Gluten free/low protein biscuits
090402000,Enteral nutrition
090501100,Other calcium supplement preparations
0905011B0,Calcium chloride
0905011D0,Calcium carbonate
0905011K0,Calcium gluconate
0905011R0,Calcium lactate
0905011U0,Calcium phosphate
0905011Z0,Hydroxyapatite
0905012H0,Trisodium edetate
0905012I0,Cinacalcet hydrochloride
090501300,Other magnesium preparations
0905013A0,Magnesium aspartate
0905013D0,Magnesium chloride
0905013F0,Magnesium citrate
0905013G0,Magnesium glycerophosphate
0905013M0,Magnesium orotate
0905013N0,Magnesium sulfate
0905013P0,Magnesium lactate
090502100,Other phosphate supplement preparations
0905021F0,Monobasic potassium phosphate
0905021I0,Dibasic potassium phosphate
0905021L0,Sodium dihydrogen phosphate dihydrate
0905021S0,Sodium glycerophosphate
0905022C0,Calcium acetate
0905022H0,Calcium carbonate
0905022S0,Sevelamer
0905022T0,Lanthanum carbonate
0905022U0,Calcium acetate/magnesium carbonate
0905022V0,Colestilan
0905022W0,Sucroferric oxyhydroxide
0905030G0,Sodium fluoride
0905030M0,Stannous fluoride
090504100,Other zinc preparations
0905041Q0,Zinc sulfate
0905041R0,Zinc sulfate monohydrate
090504200,Other chromium preparations
090504400,Other kelp preparations
090504700,Other selenium preparations
090504800,Other mineral formulation preparations
0905050A0,Selenium
090601100,Other vitamin A preparations 0906011
0906011D0,Vitamin A
0906011H0,Cod liver oil
0906011L0,Halibut liver oil
0906012B0,Betacarotene
0906022K0,Nicotinamide
090602300,Other pantothenic acid preparations
0906023N0,Pantothenic acid (Calcium pantothenate)
0906024N0,Pyridoxine hydrochloride
090602500,Other riboflavine (B2) preparations
0906025P0,Riboflavin
0906026M0,Thiamine hydrochloride
0906026V0,Vitamin B and C injection
090602700,Other vitamin B compound preparations
0906027G0,Vitamin B compound
090602800,Other vitamin B preparations
090603100,Other vitamin C (Ascorbic acid) preparations
0906031C0,Ascorbic acid
090603300,Other vitamin C preparations
0906040B0,Alfacalcidol
0906040C0,Calcitriol
